node_id,index,UniProt
9606.ENSP00000244519,529,O00478
9606.ENSP00000244520,530,P09234
9606.ENSP00000244669,531,Q9Y235
9606.ENSP00000244709,532,Q9NP99
9606.ENSP00000244763,533,P43307
9606.ENSP00000244869,534,O14944
9606.ENSP00000244926,535,O95969
9606.ENSP00000244930,536,O75556
9606.ENSP00000245206,537,P00505
9606.ENSP00000245255,538,Q96J94
9606.ENSP00000245304,539,P10114
9606.ENSP00000245414,540,P10914
9606.ENSP00000245451,541,P12644
9606.ENSP00000245479,542,P48436
9606.ENSP00000245552,543,Q8TCD5
9606.ENSP00000245620,544,O75022
9606.ENSP00000245810,545,O60542
9606.ENSP00000245816,546,Q16740
9606.ENSP00000245817,547,P41273
9606.ENSP00000245907,548,P01024
9606.ENSP00000245932,549,P50552
9606.ENSP00000245960,550,P30305
9606.ENSP00000245983,551,O43555
9606.ENSP00000246006,552,Q9NPY3
9606.ENSP00000246069,553,P60981
9606.ENSP00000246071,554,P08579
9606.ENSP00000246105,555,Q9H1M3
9606.ENSP00000246190,556,Q96P71
9606.ENSP00000246337,557,P06132
9606.ENSP00000246529,558,Q9BTN0
9606.ENSP00000246532,559,Q9H665
9606.ENSP00000246548,560,Q9UBT2
9606.ENSP00000246672,561,P20393
9606.ENSP00000246747,562,P36404
9606.ENSP00000246792,563,P10301
9606.ENSP00000246841,564,Q9NZU1
9606.ENSP00000246868,565,Q9Y3A5
9606.ENSP00000246895,566,P02808
9606.ENSP00000246912,567,Q9UH92
9606.ENSP00000247020,568,Q99470
9606.ENSP00000247153,569,P27918
9606.ENSP00000247194,570,Q96EM0
9606.ENSP00000247270,571,P22794
9606.ENSP00000247271,572,P23515
9606.ENSP00000247461,573,P27824
9606.ENSP00000247470,574,Q9ULZ3
9606.ENSP00000247665,575,Q9NRX4
9606.ENSP00000247843,576,O95619
9606.ENSP00000247933,577,P35475
9606.ENSP00000247970,578,Q13526
9606.ENSP00000247992,579,Q5R387
9606.ENSP00000248098,580,Q9H910
9606.ENSP00000248114,581,P55789
9606.ENSP00000248121,582,O43761
9606.ENSP00000248211,583,P21506
9606.ENSP00000248444,584,P09327
9606.ENSP00000248553,585,P04792
9606.ENSP00000248564,586,P61952
9606.ENSP00000248598,587,Q14314
9606.ENSP00000248668,588,Q9P244
9606.ENSP00000248901,589,Q9UIA0
9606.ENSP00000248958,590,Q9HCN8
9606.ENSP00000248975,591,Q04917
9606.ENSP00000249071,592,P15153
9606.ENSP00000249075,593,P15018
9606.ENSP00000249356,594,Q9UBS3
9606.ENSP00000249363,595,Q9HBW1
9606.ENSP00000249396,596,Q8IXJ6
9606.ENSP00000249442,597,O75431
9606.ENSP00000249647,598,O00161
