UniProt,ENSP,source
Q8WYQ4,9606.ENSP00000305096,Ensembl_HGNC_uniprot_ids
Q8WYQ4,9606.ENSP00000305096,Ensembl_UniProt
Q8WYQ4,9606.ENSP00000305096,UniProt_AC
Q8WZ19,9606.ENSP00000455785,Ensembl_HGNC_uniprot_ids
Q8WZ19,9606.ENSP00000455785,Ensembl_UniProt
Q8WZ19,9606.ENSP00000455785,UniProt_AC
Q8WZ42,9606.ENSP00000467141,Ensembl_HGNC_uniprot_ids
Q8WZ42,9606.ENSP00000467141,Ensembl_UniProt
Q8WZ42,9606.ENSP00000467141,UniProt_AC
Q8WZ59,9606.ENSP00000291934,Ensembl_HGNC_uniprot_ids
Q8WZ59,9606.ENSP00000291934,Ensembl_UniProt
Q8WZ59,9606.ENSP00000291934,UniProt_AC
Q8WZ73,9606.ENSP00000326170,Ensembl_HGNC_uniprot_ids
Q8WZ73,9606.ENSP00000326170,Ensembl_UniProt
Q8WZ73,9606.ENSP00000326170,UniProt_AC
Q8WZ75,9606.ENSP00000304945,Ensembl_HGNC_uniprot_ids
Q8WZ75,9606.ENSP00000304945,Ensembl_UniProt
Q8WZ75,9606.ENSP00000304945,UniProt_AC
Q8WZ79,9606.ENSP00000359699,Ensembl_HGNC_uniprot_ids
Q8WZ79,9606.ENSP00000359699,Ensembl_UniProt
Q8WZ79,9606.ENSP00000359699,UniProt_AC
Q8WZ82,9606.ENSP00000461388,Ensembl_HGNC_uniprot_ids
Q8WZ82,9606.ENSP00000461388,Ensembl_UniProt
Q8WZ82,9606.ENSP00000461388,UniProt_AC
Q8WZA0,9606.ENSP00000366430,Ensembl_HGNC_uniprot_ids
Q8WZA0,9606.ENSP00000366430,Ensembl_UniProt
Q8WZA0,9606.ENSP00000366430,UniProt_AC
Q8WZA1,9606.ENSP00000361060,Ensembl_HGNC_uniprot_ids
Q8WZA1,9606.ENSP00000361060,Ensembl_UniProt
Q8WZA1,9606.ENSP00000361060,UniProt_AC
Q92185,9606.ENSP00000379353,Ensembl_HGNC_uniprot_ids
Q92185,9606.ENSP00000379353,Ensembl_UniProt
Q92185,9606.ENSP00000379353,UniProt_AC
Q92186,9606.ENSP00000268164,Ensembl_HGNC_uniprot_ids
Q92186,9606.ENSP00000268164,Ensembl_UniProt
Q92186,9606.ENSP00000268164,UniProt_AC
Q92187,9606.ENSP00000231461,Ensembl_HGNC_uniprot_ids
Q92187,9606.ENSP00000231461,Ensembl_UniProt
Q92187,9606.ENSP00000231461,UniProt_AC
Q92478,9606.ENSP00000228438,Ensembl_HGNC_uniprot_ids
Q92478,9606.ENSP00000228438,Ensembl_UniProt
Q92478,9606.ENSP00000228438,UniProt_AC
Q92484,9606.ENSP00000357425,Ensembl_HGNC_uniprot_ids
Q92484,9606.ENSP00000357425,Ensembl_UniProt
Q92484,9606.ENSP00000357425,UniProt_AC
Q92496,9606.ENSP00000356386,Ensembl_HGNC_uniprot_ids
Q92496,9606.ENSP00000356386,Ensembl_UniProt
Q92496,9606.ENSP00000356386,UniProt_AC
Q92499,9606.ENSP00000370745,Ensembl_HGNC_uniprot_ids
Q92499,9606.ENSP00000370745,Ensembl_UniProt
Q92499,9606.ENSP00000370745,UniProt_AC
Q92506,9606.ENSP00000363794,Ensembl_HGNC_uniprot_ids
Q92506,9606.ENSP00000363794,Ensembl_UniProt
Q92506,9606.ENSP00000363794,UniProt_AC
Q92508,9606.ENSP00000301015,Ensembl_HGNC_uniprot_ids
Q92508,9606.ENSP00000301015,Ensembl_UniProt
Q92508,9606.ENSP00000301015,UniProt_AC
Q92519,9606.ENSP00000155926,Ensembl_HGNC_uniprot_ids
Q92519,9606.ENSP00000155926,Ensembl_UniProt
Q92519,9606.ENSP00000155926,UniProt_AC
