,AD_beta,AD_logp,PD_beta,PD_logp,FTD_beta,FTD_logp,ALS_beta,ALS_logp
BMPR1A,0.022190262,2.388897,-0.010941125,2.1496391,0.0012393426,0.5919517,0.0125482315,0.4864152
BMPR2,0.022912417,2.3169496,-0.010404773,2.076915,-0.00011182949,0.589607,0.014270865,0.48395988
NTRK2,0.019813063,0.97784066,-0.022382585,0.7385627,-0.027894605,0.55765796,0.033278447,0.47260725
ANG,0.013246993,2.7734811,-0.036648773,2.5065968,0.007609904,0.60264313,0.009286126,0.51993626
F9,0.01611881,0.48063338,-0.03037138,0.097821385,-0.03574642,0.53647006,0.063002534,0.49241704
GDF2,0.02958662,1.5588756,-0.0090217255,1.2722538,-0.014361468,0.5669084,0.032332152,0.4702488
INS,0.021578733,0.43551934,-0.03728503,0.08442053,-0.050479844,0.55125123,0.057575542,0.48931572
WNT7A,0.018669304,2.3957632,-0.015127907,2.1770504,0.00096987817,0.5935732,0.0094973,0.48724946
GCG,0.033897918,-2.2854078,-0.076339446,-2.6654122,-0.10082378,0.40490538,0.10698545,0.4191047
PPP3CA|PPP3R1,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
CASP2,-0.011348518,1.2565569,0.0007949439,1.5698333,-0.031554494,0.66290927,-0.030091308,0.40335608
COTL1,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
F5,0.03744045,0.36198664,-0.046552476,-0.37532187,-0.07405974,0.56290644,0.11612539,0.5564696
ENG,0.074063696,-0.75658786,-0.027268417,-1.4140027,-0.056469303,0.46754804,0.10239643,0.48034644
LGALS8,0.047820162,-6.0117345,0.0068638925,-5.9262094,-0.1794315,0.40561485,0.1715734,0.20472012
PLA2G1B,0.018061696,2.1845372,-0.024094954,1.959008,-0.003998138,0.5837593,0.016852848,0.48863655
GOT1,0.018659241,2.2296867,-0.020659292,2.0006185,-0.0035257554,0.59084237,0.014652138,0.4881685
CCL16,0.011487434,1.9406177,0.004555675,1.8877711,-0.012361945,0.5746106,0.009874723,0.4277417
CGA|CGB3|CGB7,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
HBA1|HBB,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
IGHD,0.026534252,1.4797617,-0.0010236665,1.268613,-0.01736601,0.5563854,0.030498145,0.44898033
ITGAV|ITGB5,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
LYZ,0.017656695,1.7964889,-0.022424484,1.5504057,-0.011344363,0.57639897,0.02086257,0.4859155
CCL19,0.0197263,1.8475345,-0.020985488,1.6442509,-0.011015658,0.56763506,0.02057058,0.4709531
AMH,0.023067486,2.5154662,-0.023545053,2.2224665,0.004668136,0.59578466,0.012486984,0.50916785
MMP1,0.053352375,0.7539671,-0.040750183,0.11989197,-0.09082362,0.6368901,0.094779305,0.5254222
MMP13,0.046635404,1.850497,-0.042896256,1.2341399,-0.041270938,0.6060165,0.063646175,0.5531529
SHBG,0.021737276,0.86386347,-0.043038584,0.48650882,-0.04415016,0.57174957,0.05098768,0.5116296
STC1,0.024511585,0.17023078,0.024935512,0.06505653,-0.048434205,0.4969936,0.04614171,0.37126443
F3,0.031301226,-0.26991275,-0.012780458,-0.66742927,-0.051342335,0.5012235,0.07814949,0.45550868
EREG,0.014635598,-1.2583963,-0.052479003,-1.6452034,-0.074157104,0.52167463,0.071450114,0.4879105
AGR2,0.08051602,-1.5645767,-0.18953022,-2.6323862,-0.068279065,0.40799654,0.13888067,0.64237773
ANXA1,0.058796115,0.47270674,-0.024834894,-0.12823755,-0.027109101,0.5084448,0.07558882,0.5122927
ARPP19,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
ERAP1,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
ATP5F1B,0.012747537,1.2448258,-0.022098193,0.97378486,-0.022339504,0.5627152,0.03967435,0.48427832
C1QBP,-0.002547217,2.0860705,-0.041516736,2.0596244,-0.012171135,0.5704758,0.0013766217,0.4538969
CAPG,0.01823619,2.5932307,-0.021290228,2.3682942,0.0045188516,0.5979264,0.005185663,0.4966998
CA1,0.0017950188,2.2008977,-0.008844001,2.2269022,-0.009026536,0.5787143,-0.0072390707,0.4260147
CA2,-0.0063294526,1.859485,-0.0034540654,2.0181456,-0.019584615,0.565797,-0.010787539,0.38647565
CTSZ,-0.0064015463,-0.29480395,0.003445318,0.0634841,-0.085089594,0.6958867,-0.006612831,0.3828997
BIRC3,0.018288653,2.3525567,-0.02283502,2.0982163,0.0006063753,0.58788663,0.014356105,0.4983094
CRK,0.022626126,2.311802,-0.0035139187,2.0730276,0.00022978103,0.5867531,0.014281679,0.48078072
DBNL,0.015874559,2.7504122,-0.015636519,2.541151,0.006499447,0.606349,0.0031682355,0.49408075
DPT,0.030678533,1.1638896,-0.02717309,0.71641827,-0.033213194,0.57447577,0.061958782,0.50078166
DSC3,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
PI3,0.015280111,1.74381,-0.016258135,1.5878491,-0.014713907,0.5774555,0.014514966,0.45873642
ESD,0.017958194,0.3757014,-0.04918716,0.089243144,-0.043956596,0.51171756,0.05415515,0.46672493
FABP5,0.015402744,-0.41955253,-0.013917185,-0.35745853,-0.06301841,0.50472236,0.069422685,0.34871617
PTK2,-0.0067551425,-0.17764512,0.009615853,0.16890383,-0.0626735,0.6155455,0.017989866,0.33109176
FCAR,0.037950084,0.6638236,-0.04893369,0.17547286,-0.030494839,0.52315784,0.065638654,0.51178354
FGFR4,-0.033333153,-0.7969799,-0.0017680707,-0.7880593,-0.068528,0.5983337,0.006302077,0.46040714
FGG,0.03699082,-0.07014337,-0.03372288,-0.62654275,-0.0708708,0.5371033,0.11020769,0.4935748
GP1BA,0.020275231,0.046268404,-0.008018788,-0.2441976,-0.048901457,0.5208883,0.065763906,0.44448993
GPC5,0.047651537,0.21419713,-0.17564353,-0.71114534,-0.036941912,0.48351356,0.10899478,0.66228557
GRN,0.025353763,2.6764917,-0.023945123,2.2322166,-0.0248565,0.63468546,0.039869327,0.53966177
GSTA3,0.012946783,2.0037582,-0.017478848,1.8431277,-0.008997823,0.58699834,0.0114664165,0.46891558
HPGD,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
HRG,0.034939762,-0.32714012,-0.037619192,-0.91300434,-0.07215394,0.52041346,0.11585209,0.4948209
EIF4A3,0.012921336,2.9770148,-0.012538973,2.8003557,0.011086641,0.6130952,-0.0038711585,0.49341655
LGALS3BP,0.0036321993,-1.5761341,-0.007572748,-1.5454106,-0.085233346,0.50334144,0.08483873,0.3429847
SCGB2A1,0.013281012,2.9905982,-0.0112498775,2.8145776,0.011425702,0.6136787,-0.004164108,0.4927566
MMP14,0.022632604,0.4940565,-0.034492645,0.07786089,-0.053183615,0.56405807,0.064043224,0.5030632
MAPK11,0.015850466,2.6537058,-0.016406238,2.4400432,0.0033888624,0.6041682,0.004922071,0.49308515
MAPK12,0.016066266,2.660067,-0.016361801,2.443322,0.0033643525,0.60454935,0.0050002546,0.49352276
MAPK13,0.01612213,2.664512,-0.01688644,2.4445536,0.003335944,0.60488707,0.0052066455,0.49454218
MAPK14,0.011827331,2.4624422,-0.011822278,2.3544755,-0.0017548194,0.620061,-0.0038261323,0.47609758
SOD2,0.0096825715,2.2869153,-0.019626325,2.0387683,-0.02541165,0.6205502,0.01067587,0.5038613
MSN,0.013878524,0.9864193,-0.005095365,0.9417898,-0.029763542,0.5733222,0.029631328,0.4231369
NAMPT,0.026095299,0.9949701,-0.04549952,0.7066841,-0.029905166,0.53972846,0.03553463,0.47876087
AK1,0.010797454,2.0799785,-0.012641471,1.9713755,-0.0106520355,0.58592623,0.0033188483,0.45558167
CLIC1,0.049841445,0.90223455,-0.042707145,0.338592,-0.020727765,0.5301258,0.062649734,0.52704555
NCK1,0.019382978,1.5398767,-0.022602234,1.2168849,-0.021270264,0.5947505,0.02955575,0.51016253
PLA2G7,0.061603233,2.2160575,-0.094622314,0.9086402,-0.105304234,0.6924429,0.16270168,0.7273106
PRDX5,-0.00023426139,1.3977759,-0.006517599,1.4705225,-0.023807205,0.5760545,0.008674961,0.40771315
PRDX6,0.0113385655,1.3646708,-0.007686163,1.3536489,-0.024477843,0.6076489,-0.0001809739,0.43182063
UCHL1,0.049854025,2.5295153,-0.059345838,1.5782039,-0.0917813,0.71156347,0.09782525,0.64430535
PGK1,0.012309669,2.2993345,-0.011638083,2.1486375,-0.0033052843,0.5952989,0.0054158974,0.4733751
